Midpoint LowerLim UpperLim Count ProbabilityDensity
15 10 10 0 0
25 20 20 1175 0.040086
35 30 30 5848 0.199509
45 40 40 5607 0.191287
55 50 50 4370 0.149086
65 60 60 3101 0.105793
75 70 70 2125 0.0724959
85 80 80 1619 0.0552334
95 90 90 1333 0.0454763
105 100 100 956 0.0326146
115 110 110 710 0.0242222
125 120 120 529 0.0180472
135 130 130 361 0.0123158
145 140 140 305 0.0104053
155 150 150 212 0.00723253
165 160 160 191 0.0065161
175 170 170 153 0.00521971
185 180 180 118 0.00402565
195 190 190 86 0.00293395
205 200 200 78 0.00266103
215 210 210 66 0.00225164
225 220 220 55 0.00187636
235 230 230 50 0.00170579
245 240 240 41 0.00139874
255 250 250 27 0.000921124
265 260 260 23 0.000784662
275 270 270 20 0.000682314
285 280 280 27 0.000921124
295 290 290 17 0.000579967
305 300 300 11 0.000375273
315 310 310 14 0.00047762
325 320 320 17 0.000579967
335 330 330 17 0.000579967
345 340 340 9 0.000307041
355 350 350 11 0.000375273
365 360 360 5 0.000170579
375 370 370 6 0.000204694
385 380 380 6 0.000204694
395 390 390 4 0.000136463
405 400 400 3 0.000102347
415 410 410 1 3.41157e-05
425 420 420 1 3.41157e-05
435 430 430 1 3.41157e-05
445 440 440 0 0
455 450 450 0 0
465 460 460 0 0
475 470 470 1 3.41157e-05
485 480 480 0 0
495 490 490 1 3.41157e-05
505 500 500 0 0
515 510 510 0 0
525 520 520 0 0
535 530 530 0 0
545 540 540 0 0
555 550 550 0 0
565 560 560 0 0
575 570 570 0 0
585 580 580 0 0
595 590 590 0 0
605 600 600 0 0
615 610 610 0 0
625 620 620 0 0
635 630 630 0 0
645 640 640 0 0
655 650 650 0 0
665 660 660 0 0
675 670 670 0 0
685 680 680 0 0
695 690 690 0 0
705 700 700 0 0
715 710 710 0 0
725 720 720 0 0
735 730 730 0 0
745 740 740 0 0
755 750 750 0 0
765 760 760 0 0
775 770 770 0 0
785 780 780 0 0
795 790 790 0 0
805 800 800 0 0
815 810 810 0 0
825 820 820 0 0
835 830 830 0 0
845 840 840 0 0
855 850 850 0 0
865 860 860 0 0
875 870 870 0 0
885 880 880 0 0
895 890 890 0 0
905 900 900 0 0
915 910 910 0 0
925 920 920 0 0
935 930 930 0 0
945 940 940 0 0
955 950 950 0 0
965 960 960 0 0
975 970 970 0 0
985 980 980 0 0
995 990 990 0 0
1005 1000 1000 0 0
1015 1010 1010 0 0
1025 1020 1020 0 0
1035 1030 1030 0 0
1045 1040 1040 0 0
1055 1050 1050 0 0
1065 1060 1060 0 0
1075 1070 1070 0 0
1085 1080 1080 0 0
1095 1090 1090 0 0
1105 1100 1100 0 0
1115 1110 1110 0 0
1125 1120 1120 0 0
1135 1130 1130 0 0
1145 1140 1140 0 0
1155 1150 1150 0 0
1165 1160 1160 0 0
1175 1170 1170 0 0
1185 1180 1180 0 0
1195 1190 1190 0 0
1205 1200 1200 0 0
1215 1210 1210 0 0
1225 1220 1220 0 0
1235 1230 1230 0 0
1245 1240 1240 0 0
1255 1250 1250 0 0
1265 1260 1260 0 0
1275 1270 1270 0 0
1285 1280 1280 0 0
1295 1290 1290 0 0
1305 1300 1300 0 0
1315 1310 1310 0 0
1325 1320 1320 0 0
1335 1330 1330 0 0
1345 1340 1340 0 0
1355 1350 1350 0 0
1365 1360 1360 0 0
1375 1370 1370 0 0
1385 1380 1380 0 0
1395 1390 1390 0 0
1405 1400 1400 0 0
1415 1410 1410 0 0
1425 1420 1420 0 0
1435 1430 1430 0 0
1445 1440 1440 0 0
1455 1450 1450 0 0
1465 1460 1460 0 0
1475 1470 1470 1 3.41157e-05
1485 1480 1480 0 0
1495 1490 1490 0 0
